epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2117.85,1.0808,1.72816,0.0068,0.89066,0.89258,0.94213,0.73825,0.99812,1.54299,0.01073,0.000423049,0.000423049,0.000423049
56,2157.9,1.07717,1.70193,0.00677,0.90872,0.90913,0.94968,0.73904,1.00743,1.51143,0.01075,0.000414049,0.000414049,0.000414049
57,2199.29,1.0756,1.74702,0.00679,0.92541,0.89359,0.95095,0.74843,0.98728,1.47374,0.01045,0.00040505,0.00040505,0.00040505
58,2235.98,1.06399,1.7139,0.00666,0.91184,0.91062,0.95451,0.74871,0.99663,1.47262,0.01089,0.000396051,0.000396051,0.000396051
59,2272.3,1.08629,1.72671,0.00662,0.91304,0.90877,0.9505,0.74263,1.00249,1.51031,0.01069,0.000387052,0.000387052,0.000387052
60,2314.2,1.05719,1.69028,0.00651,0.91817,0.89663,0.94643,0.73506,0.9883,1.50232,0.01073,0.000378053,0.000378053,0.000378053
61,2354.63,1.05708,1.66149,0.00648,0.93186,0.89899,0.95486,0.75233,0.98042,1.46702,0.01058,0.000369054,0.000369054,0.000369054
62,2390.83,1.04843,1.65947,0.00658,0.92781,0.90171,0.95338,0.7506,0.97893,1.46313,0.01054,0.000360055,0.000360055,0.000360055
63,2426.75,1.05555,1.66078,0.00666,0.92074,0.91428,0.95696,0.74542,0.99005,1.42355,0.01073,0.000351056,0.000351056,0.000351056
64,2462.62,1.03907,1.60801,0.00646,0.92237,0.9045,0.95066,0.74713,0.99175,1.45326,0.01058,0.000342057,0.000342057,0.000342057
65,2498.41,1.03764,1.6082,0.00645,0.91772,0.91209,0.95213,0.75227,0.97606,1.45996,0.01032,0.000333058,0.000333058,0.000333058
66,2534.59,1.03559,1.62269,0.00621,0.91689,0.92039,0.95568,0.75243,0.97185,1.45334,0.01051,0.000324058,0.000324058,0.000324058
67,2570.44,1.03871,1.62113,0.00632,0.92197,0.90519,0.9544,0.74667,0.99855,1.49321,0.01064,0.000315059,0.000315059,0.000315059
68,2606.26,1.05292,1.63656,0.00622,0.93007,0.91268,0.95466,0.75229,0.96921,1.43333,0.0102,0.00030606,0.00030606,0.00030606
69,2642.11,1.0224,1.54911,0.00634,0.93966,0.91163,0.95651,0.75887,0.96737,1.39725,0.01024,0.000297061,0.000297061,0.000297061
70,2678.01,1.03934,1.60207,0.00626,0.92549,0.9029,0.95424,0.75261,0.97737,1.43941,0.01056,0.000288062,0.000288062,0.000288062
71,2713.82,1.03394,1.55097,0.00621,0.92717,0.90807,0.95565,0.75363,0.97178,1.44438,0.01056,0.000279063,0.000279063,0.000279063
72,2749.63,1.029,1.54732,0.00603,0.94649,0.91312,0.96396,0.76088,0.96364,1.37329,0.01039,0.000270064,0.000270064,0.000270064
73,2785.47,1.01907,1.56048,0.00593,0.93697,0.91001,0.95937,0.76319,0.95384,1.40414,0.01005,0.000261065,0.000261065,0.000261065
74,2821.24,1.01245,1.55313,0.00616,0.91818,0.92924,0.96325,0.75878,0.96734,1.37583,0.01025,0.000252066,0.000252066,0.000252066
75,2857.06,1.00973,1.54634,0.00606,0.91536,0.92788,0.95846,0.75955,0.96403,1.36845,0.01018,0.000243067,0.000243067,0.000243067
